       Step     Time          Energy          fmax
LBFGS:    0 21:57:06     -205.977539       92.313347
LBFGS:    1 21:58:13     -222.398792       11.538749
LBFGS:    2 21:59:11     -226.801678       13.629482
LBFGS:    3 22:00:07     -230.658225        8.110086
LBFGS:    4 22:01:16     -232.700476        7.301927
LBFGS:    5 22:02:07     -234.370887        5.377718
LBFGS:    6 22:02:59     -235.044859        3.851272
LBFGS:    7 22:03:43     -235.238217        3.002228
LBFGS:    8 22:04:22     -235.440615        1.916224
LBFGS:    9 22:05:04     -235.609144        0.916633
LBFGS:   10 22:05:46     -235.702867        1.265923
LBFGS:   11 22:06:27     -235.741679        1.256408
LBFGS:   12 22:06:57     -235.780470        0.976999
LBFGS:   13 22:07:32     -235.826747        0.457934
LBFGS:   14 22:08:06     -235.845819        0.473594
LBFGS:   15 22:08:41     -235.872075        0.539670
LBFGS:   16 22:09:12     -235.892752        0.618158
LBFGS:   17 22:09:43     -235.921907        0.672496
LBFGS:   18 22:10:15     -235.955272        0.665584
LBFGS:   19 22:10:47     -236.021200        0.801903
LBFGS:   20 22:11:21     -236.124280        1.041586
LBFGS:   21 22:12:03     -236.191483        0.859587
LBFGS:   22 22:12:42     -236.306587        0.796346
LBFGS:   23 22:13:21     -236.408501        1.056365
LBFGS:   24 22:14:02     -236.493921        1.609721
LBFGS:   25 22:14:50     -236.578403        2.042040
LBFGS:   26 22:15:31     -236.678658        2.199675
LBFGS:   27 22:16:13     -236.828161        1.453030
LBFGS:   28 22:17:08     -236.905731        1.367864
LBFGS:   29 22:17:50     -236.984930        0.581503
LBFGS:   30 22:18:40     -237.039576        0.558891
LBFGS:   31 22:19:16     -237.079894        0.676749
LBFGS:   32 22:20:28     -237.111132        1.008789
LBFGS:   33 22:21:00     -237.152215        0.928138
LBFGS:   34 22:21:43     -237.223787        0.592184
LBFGS:   35 22:22:18     -237.254336        0.555235
LBFGS:   36 22:23:03     -237.284127        0.661961
LBFGS:   37 22:23:42     -237.299857        0.461576
LBFGS:   38 22:24:15     -237.312368        0.333744
LBFGS:   39 22:24:56     -237.320829        0.334924
LBFGS:   40 22:25:26     -237.328019        0.362834
LBFGS:   41 22:26:04     -237.336623        0.321760
LBFGS:   42 22:26:46     -237.339819        0.218038
LBFGS:   43 22:27:13     -237.342323        0.096111
LBFGS:   44 22:27:42     -237.343672        0.091224
LBFGS:   45 22:28:18     -237.342431        0.198491
LBFGS:   46 22:28:50     -237.346605        0.063856
LBFGS:   47 22:29:14     -237.346118        0.061981
LBFGS:   48 22:29:40     -237.347075        0.052046
LBFGS:   49 22:30:04     -237.347097        0.050412
LBFGS:   50 22:30:31     -237.347603        0.078619
       Step     Time          Energy          fmax
LBFGS:    0 17:45:06     -205.977539       92.313347
LBFGS:    1 17:46:12     -222.398792       11.538749
       Step     Time          Energy          fmax
LBFGS:    0 17:50:08     -190.116667       84.961620
LBFGS:    1 17:51:13     -208.192978       16.886679
LBFGS:    2 17:52:20     -212.724254       12.123625
LBFGS:    3 17:53:26     -216.444902        9.910410
